Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (36791694),Patrick Mahomes,36791694,CPT,16200,LV@KC 11/29/2024 03:00PM ET,KC,18.26
TE,Brock Bowers (36791695),Brock Bowers,36791695,CPT,15000,LV@KC 11/29/2024 03:00PM ET,LV,15.48
TE,Travis Kelce (36791696),Travis Kelce,36791696,CPT,14400,LV@KC 11/29/2024 03:00PM ET,KC,12.64
RB,Isiah Pacheco (36791697),Isiah Pacheco,36791697,CPT,13800,LV@KC 11/29/2024 03:00PM ET,KC,15.95
RB,Kareem Hunt (36791698),Kareem Hunt,36791698,CPT,13500,LV@KC 11/29/2024 03:00PM ET,KC,15.52
QB,Aidan O'Connell (36791699),Aidan O'Connell,36791699,CPT,13200,LV@KC 11/29/2024 03:00PM ET,LV,6.05
QB,Desmond Ridder (36791700),Desmond Ridder,36791700,CPT,12900,LV@KC 11/29/2024 03:00PM ET,LV,2.67
WR,DeAndre Hopkins (36791701),DeAndre Hopkins,36791701,CPT,12600,LV@KC 11/29/2024 03:00PM ET,KC,9.26
WR,Jakobi Meyers (36791702),Jakobi Meyers,36791702,CPT,12000,LV@KC 11/29/2024 03:00PM ET,LV,14.8
WR,Xavier Worthy (36791703),Xavier Worthy,36791703,CPT,11100,LV@KC 11/29/2024 03:00PM ET,KC,9.47
QB,Patrick Mahomes (36791635),Patrick Mahomes,36791635,FLEX,10800,LV@KC 11/29/2024 03:00PM ET,KC,18.26
DST,Chiefs  (36791704),Chiefs ,36791704,CPT,10200,LV@KC 11/29/2024 03:00PM ET,KC,5.36
TE,Brock Bowers (36791636),Brock Bowers,36791636,FLEX,10000,LV@KC 11/29/2024 03:00PM ET,LV,15.48
TE,Travis Kelce (36791637),Travis Kelce,36791637,FLEX,9600,LV@KC 11/29/2024 03:00PM ET,KC,12.64
RB,Alexander Mattison (36791705),Alexander Mattison,36791705,CPT,9300,LV@KC 11/29/2024 03:00PM ET,LV,10.75
RB,Isiah Pacheco (36791638),Isiah Pacheco,36791638,FLEX,9200,LV@KC 11/29/2024 03:00PM ET,KC,15.95
RB,Kareem Hunt (36791639),Kareem Hunt,36791639,FLEX,9000,LV@KC 11/29/2024 03:00PM ET,KC,15.52
QB,Carson Wentz (36791706),Carson Wentz,36791706,CPT,9000,LV@KC 11/29/2024 03:00PM ET,KC,0
QB,Gardner Minshew II (36791707),Gardner Minshew II,36791707,CPT,9000,LV@KC 11/29/2024 03:00PM ET,LV,11.03
QB,Carter Bradley (36791708),Carter Bradley,36791708,CPT,9000,LV@KC 11/29/2024 03:00PM ET,LV,0
QB,Chris Oladokun (36791709),Chris Oladokun,36791709,CPT,9000,LV@KC 11/29/2024 03:00PM ET,KC,0
QB,Aidan O'Connell (36791640),Aidan O'Connell,36791640,FLEX,8800,LV@KC 11/29/2024 03:00PM ET,LV,6.05
RB,Ameer Abdullah (36791710),Ameer Abdullah,36791710,CPT,8700,LV@KC 11/29/2024 03:00PM ET,LV,5.57
QB,Desmond Ridder (36791641),Desmond Ridder,36791641,FLEX,8600,LV@KC 11/29/2024 03:00PM ET,LV,2.67
WR,DeAndre Hopkins (36791642),DeAndre Hopkins,36791642,FLEX,8400,LV@KC 11/29/2024 03:00PM ET,KC,9.26
RB,Zamir White (36791711),Zamir White,36791711,CPT,8100,LV@KC 11/29/2024 03:00PM ET,LV,3.91
WR,Jakobi Meyers (36791643),Jakobi Meyers,36791643,FLEX,8000,LV@KC 11/29/2024 03:00PM ET,LV,14.8
K,Spencer Shrader (36791712),Spencer Shrader,36791712,CPT,7500,LV@KC 11/29/2024 03:00PM ET,KC,6.5
K,Harrison Butker (36791713),Harrison Butker,36791713,CPT,7500,LV@KC 11/29/2024 03:00PM ET,KC,9.11
K,Matthew Wright (36829242),Matthew Wright,36829242,CPT,7500,LV@KC 11/29/2024 03:00PM ET,KC,13
WR,Xavier Worthy (36791644),Xavier Worthy,36791644,FLEX,7400,LV@KC 11/29/2024 03:00PM ET,KC,9.47
K,Daniel Carlson (36791714),Daniel Carlson,36791714,CPT,7200,LV@KC 11/29/2024 03:00PM ET,LV,8.64
DST,Chiefs  (36791645),Chiefs ,36791645,FLEX,6800,LV@KC 11/29/2024 03:00PM ET,KC,5.36
WR,Tre Tucker (36791715),Tre Tucker,36791715,CPT,6600,LV@KC 11/29/2024 03:00PM ET,LV,7.94
RB,Alexander Mattison (36791646),Alexander Mattison,36791646,FLEX,6200,LV@KC 11/29/2024 03:00PM ET,LV,10.75
QB,Carson Wentz (36791647),Carson Wentz,36791647,FLEX,6000,LV@KC 11/29/2024 03:00PM ET,KC,0
QB,Gardner Minshew II (36791648),Gardner Minshew II,36791648,FLEX,6000,LV@KC 11/29/2024 03:00PM ET,LV,11.03
QB,Carter Bradley (36791649),Carter Bradley,36791649,FLEX,6000,LV@KC 11/29/2024 03:00PM ET,LV,0
QB,Chris Oladokun (36791650),Chris Oladokun,36791650,FLEX,6000,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,JuJu Smith-Schuster (36791716),JuJu Smith-Schuster,36791716,CPT,6000,LV@KC 11/29/2024 03:00PM ET,KC,4.51
RB,Ameer Abdullah (36791651),Ameer Abdullah,36791651,FLEX,5800,LV@KC 11/29/2024 03:00PM ET,LV,5.57
RB,Zamir White (36791652),Zamir White,36791652,FLEX,5400,LV@KC 11/29/2024 03:00PM ET,LV,3.91
TE,Noah Gray (36791717),Noah Gray,36791717,CPT,5400,LV@KC 11/29/2024 03:00PM ET,KC,7.5
K,Spencer Shrader (36791653),Spencer Shrader,36791653,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,6.5
K,Harrison Butker (36791654),Harrison Butker,36791654,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,9.11
K,Matthew Wright (36829241),Matthew Wright,36829241,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,13
K,Daniel Carlson (36791655),Daniel Carlson,36791655,FLEX,4800,LV@KC 11/29/2024 03:00PM ET,LV,8.64
DST,Raiders  (36791718),Raiders ,36791718,CPT,4800,LV@KC 11/29/2024 03:00PM ET,LV,2.64
RB,Samaje Perine (36791719),Samaje Perine,36791719,CPT,4500,LV@KC 11/29/2024 03:00PM ET,KC,5.12
WR,Tre Tucker (36791656),Tre Tucker,36791656,FLEX,4400,LV@KC 11/29/2024 03:00PM ET,LV,7.94
WR,Justin Watson (36791720),Justin Watson,36791720,CPT,4200,LV@KC 11/29/2024 03:00PM ET,KC,3.62
WR,JuJu Smith-Schuster (36791657),JuJu Smith-Schuster,36791657,FLEX,4000,LV@KC 11/29/2024 03:00PM ET,KC,4.51
TE,Noah Gray (36791658),Noah Gray,36791658,FLEX,3600,LV@KC 11/29/2024 03:00PM ET,KC,7.5
WR,DJ Turner (36791721),DJ Turner,36791721,CPT,3600,LV@KC 11/29/2024 03:00PM ET,LV,3.96
DST,Raiders  (36791659),Raiders ,36791659,FLEX,3200,LV@KC 11/29/2024 03:00PM ET,LV,2.64
RB,Samaje Perine (36791660),Samaje Perine,36791660,FLEX,3000,LV@KC 11/29/2024 03:00PM ET,KC,5.12
WR,Mecole Hardman (36791722),Mecole Hardman,36791722,CPT,3000,LV@KC 11/29/2024 03:00PM ET,KC,3.02
WR,Justin Watson (36791661),Justin Watson,36791661,FLEX,2800,LV@KC 11/29/2024 03:00PM ET,KC,3.62
WR,DJ Turner (36791662),DJ Turner,36791662,FLEX,2400,LV@KC 11/29/2024 03:00PM ET,LV,3.96
TE,Michael Mayer (36791723),Michael Mayer,36791723,CPT,2400,LV@KC 11/29/2024 03:00PM ET,LV,2.14
RB,Carson Steele (36791724),Carson Steele,36791724,CPT,2100,LV@KC 11/29/2024 03:00PM ET,KC,1.93
WR,Mecole Hardman (36791663),Mecole Hardman,36791663,FLEX,2000,LV@KC 11/29/2024 03:00PM ET,KC,3.02
TE,Michael Mayer (36791664),Michael Mayer,36791664,FLEX,1600,LV@KC 11/29/2024 03:00PM ET,LV,2.14
RB,Dylan Laube (36791725),Dylan Laube,36791725,CPT,1500,LV@KC 11/29/2024 03:00PM ET,LV,-0.25
RB,Carson Steele (36791665),Carson Steele,36791665,FLEX,1400,LV@KC 11/29/2024 03:00PM ET,KC,1.93
RB,Sincere McCormick (36791726),Sincere McCormick,36791726,CPT,1200,LV@KC 11/29/2024 03:00PM ET,LV,1.65
RB,Dylan Laube (36791666),Dylan Laube,36791666,FLEX,1000,LV@KC 11/29/2024 03:00PM ET,LV,-0.25
TE,Harrison Bryant (36791727),Harrison Bryant,36791727,CPT,900,LV@KC 11/29/2024 03:00PM ET,LV,2.2
RB,Sincere McCormick (36791667),Sincere McCormick,36791667,FLEX,800,LV@KC 11/29/2024 03:00PM ET,LV,1.65
TE,Harrison Bryant (36791668),Harrison Bryant,36791668,FLEX,600,LV@KC 11/29/2024 03:00PM ET,LV,2.2
WR,Kristian Wilkerson (36791728),Kristian Wilkerson,36791728,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,4.9
WR,Tyquan Thornton (36791729),Tyquan Thornton,36791729,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,1.45
RB,Chris Collier (36791730),Chris Collier,36791730,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
RB,Keaontay Ingram (36791731),Keaontay Ingram,36791731,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
RB,Clyde Edwards-Helaire (36791732),Clyde Edwards-Helaire,36791732,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Alex Bachman (36791733),Alex Bachman,36791733,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,1.02
WR,Ramel Keyton (36791734),Ramel Keyton,36791734,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.57
WR,Tyreik McAllister (36791735),Tyreik McAllister,36791735,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.37
WR,Nikko Remigio (36791736),Nikko Remigio,36791736,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Terrace Marshall Jr. (36791737),Terrace Marshall Jr.,36791737,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
WR,Justyn Ross (36791738),Justyn Ross,36791738,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Montrell Washington (36791739),Montrell Washington,36791739,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Rashee Rice (36791740),Rashee Rice,36791740,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,17.72
WR,Jaaron Hayek (36791741),Jaaron Hayek,36791741,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Skyy Moore (36791742),Skyy Moore,36791742,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Hollywood Brown (36791743),Hollywood Brown,36791743,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Jeff Foreman (36791744),Jeff Foreman,36791744,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Peyton Hendershot (36791745),Peyton Hendershot,36791745,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,1.12
TE,John Samuel Shenker (36791746),John Samuel Shenker,36791746,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.34
TE,James Winchester (36791747),James Winchester,36791747,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Anthony Firkser (36791748),Anthony Firkser,36791748,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Cole Fotheringham (36791749),Cole Fotheringham,36791749,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Justin Shorter (36791750),Justin Shorter,36791750,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Jody Fortson (36791751),Jody Fortson,36791751,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0.5
TE,Jared Wiley (36791752),Jared Wiley,36791752,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0.24
WR,Kristian Wilkerson (36791669),Kristian Wilkerson,36791669,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,4.9
WR,Tyquan Thornton (36791670),Tyquan Thornton,36791670,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,1.45
RB,Chris Collier (36791671),Chris Collier,36791671,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
RB,Keaontay Ingram (36791672),Keaontay Ingram,36791672,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
RB,Clyde Edwards-Helaire (36791673),Clyde Edwards-Helaire,36791673,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Alex Bachman (36791674),Alex Bachman,36791674,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,1.02
WR,Ramel Keyton (36791675),Ramel Keyton,36791675,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.57
WR,Tyreik McAllister (36791676),Tyreik McAllister,36791676,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.37
WR,Nikko Remigio (36791677),Nikko Remigio,36791677,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Terrace Marshall Jr. (36791678),Terrace Marshall Jr.,36791678,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
WR,Justyn Ross (36791679),Justyn Ross,36791679,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Montrell Washington (36791680),Montrell Washington,36791680,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Rashee Rice (36791681),Rashee Rice,36791681,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,17.72
WR,Jaaron Hayek (36791682),Jaaron Hayek,36791682,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Skyy Moore (36791683),Skyy Moore,36791683,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Hollywood Brown (36791684),Hollywood Brown,36791684,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Jeff Foreman (36791685),Jeff Foreman,36791685,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Peyton Hendershot (36791686),Peyton Hendershot,36791686,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,1.12
TE,John Samuel Shenker (36791687),John Samuel Shenker,36791687,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.34
TE,James Winchester (36791688),James Winchester,36791688,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Anthony Firkser (36791689),Anthony Firkser,36791689,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Cole Fotheringham (36791690),Cole Fotheringham,36791690,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Justin Shorter (36791691),Justin Shorter,36791691,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Jody Fortson (36791692),Jody Fortson,36791692,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0.5
TE,Jared Wiley (36791693),Jared Wiley,36791693,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0.24

